openalex_id,title,year,authors,source,doi,cited_by_count,abstract,open_access,pdf_url,landing_page,matched_topic
https://openalex.org/W2117539524,ImageNet Large Scale Visual Recognition Challenge,2015,"Olga Russakovsky, Jia Deng, Hao Su, Jonathan Krause, Sanjeev Satheesh, Sean Ma, Zhiheng Huang, Andrej Karpathy, Aditya Khosla, Michael S. Bernstein, Alexander C. Berg, Li Fei-Fei",International Journal of Computer Vision,10.1007/s11263-015-0816-y,40696,,False,,https://doi.org/10.1007/s11263-015-0816-y,ground improvement
https://openalex.org/W2111817932,Maps of Dust Infrared Emission for Use in Estimation of Reddening and Cosmic Microwave Background Radiation Foregrounds,1998,"David J. Schlegel, Douglas P. Finkbeiner, Marc Davis",The Astrophysical Journal,10.1086/305772,15439,"We present a full-sky 100 μm map that is a reprocessed composite of the COBE /DIRBE and IRAS /ISSA maps, with the zodiacal foreground and confirmed point sources removed. Before using the ISSA maps, we remove the remaining artifacts from the IRAS scan pattern. Using the DIRBE 100 and 240 μm data, we have constructed a map of the dust temperature so that the 100 μm map may be converted to a map proportional to dust column density. The dust temperature varies from 17 to 21 K, which is modest but does modify the estimate of the dust column by a factor of 5. The result of these manipulations is a map with DIRBE quality calibration and IRAS resolution. A wealth of filamentary detail is apparent on many different scales at all Galactic latitudes. In high-latitude regions, the dust map correlates well with maps of H I emission, but deviations are coherent in the sky and are especially conspicuous in regions of saturation of H I emission toward denser clouds and of formation of H 2 in molecular clouds. In contrast, high-velocity H I clouds are deficient in dust emission, as expected. To generate the full-sky dust maps, we must first remove zodiacal light contamination, as well as a possible cosmic infrared background (CIB). This is done via a regression analysis of the 100 μm DIRBE map against the Leiden-Dwingeloo map of H I emission, with corrections for the zodiacal light via a suitable expansion of the DIRBE 25 μm flux. This procedure removes virtually all traces of the zodiacal foreground. For the 100 μm map no significant CIB is detected. At longer wavelengths, where the zodiacal contamination is weaker, we detect the CIB at surprisingly high flux levels of 32 ± 13 nW m -2 sr -1 at 140 μm and of 17 ± 4 nW m -2 sr -1 at 240 μm (95% confidence). This integrated flux ~2 times that extrapolated from optical galaxies in the Hubble Deep Field. The primary use of these maps is likely to be as a new estimator of Galactic extinction. To calibrate our maps, we assume a standard reddening law and use the colors of elliptical galaxies to measure the reddening per unit flux density of 100 μm emission. We find consistent calibration using the B - R color distribution of a sample of the 106 brightest cluster ellipticals, as well as a sample of 384 ellipticals with B - V and Mg line strength measurements. For the latter sample, we use the correlation of intrinsic B - V versus Mg 2 index to tighten the power of the test greatly. We demonstrate that the new maps are twice as accurate as the older Burstein-Heiles reddening estimates in regions of low and moderate reddening. The maps are expected to be significantly more accurate in regions of high reddening. These dust maps will also be useful for estimating millimeter emission that contaminates cosmic microwave background radiation experiments and for estimating soft X-ray absorption. We describe how to access our maps readily for general use.",True,https://iopscience.iop.org/article/10.1086/305772/pdf,https://doi.org/10.1086/305772,stone columns ground improvement
https://openalex.org/W2757803490,Advanced capabilities for materials modelling with Q uantum ESPRESSO,2017,"P Giannozzi, O Andreussi, T Brumme, O Bunau, M Buongiorno Nardelli, M Calandra, R Car, C Cavazzoni, D Ceresoli, M Cococcioni, N Colonna, I Carnimeo, A Dal Corso, S de Gironcoli, P Delugas, R A DiStasio, A Ferretti, A Floris, G Fratesi, G Fugallo, R Gebauer, U Gerstmann, F Giustino, T Gorni, J Jia, M Kawamura, H-Y Ko, A Kokalj, E Küçükbenli, M Lazzeri, M Marsili, N Marzari, F Mauri, N L Nguyen, H-V Nguyen, A Otero-de-la-Roza, L Paulatto, S Poncé, D Rocca, R Sabatini, B Santra, M Schlipf, A P Seitsonen, A Smogunov, I Timrov, T Thonhauser, P Umari, N Vast, X Wu, S Baroni",Journal of Physics Condensed Matter,10.1088/1361-648x/aa8f79,7777,"Quantum EXPRESSO is an integrated suite of open-source computer codes for quantum simulations of materials using state-of-the-art electronic-structure techniques, based on density-functional theory, density-functional perturbation theory, and many-body perturbation theory, within the plane-wave pseudopotential and projector-augmented-wave approaches. Quantum EXPRESSO owes its popularity to the wide variety of properties and processes it allows to simulate, to its performance on an increasingly broad array of hardware architectures, and to a community of researchers that rely on its capabilities as a core open-source development platform to implement their ideas. In this paper we describe recent extensions and improvements, covering new methodologies and property calculators, improved parallelization, code modularization, and extended interoperability both within the distribution and with external software.",True,https://iopscience.iop.org/article/10.1088/1361-648X/aa8f79/pdf,https://doi.org/10.1088/1361-648x/aa8f79,stone columns ground improvement
https://openalex.org/W2083857556,Temperature sensitivity of soil carbon decomposition and feedbacks to climate change,2006,"Eric A. Davidson, Ivan A. Janssens",Nature,10.1038/nature04514,7053,,True,https://www.nature.com/articles/nature04514.pdf,https://doi.org/10.1038/nature04514,deep soil mixing
https://openalex.org/W2796347433,YOLOv3: An Incremental Improvement,2018,"Joseph Redmon, Ali Farhadi",arXiv (Cornell University),10.48550/arxiv.1804.02767,5888,"We present some updates to YOLO! We made a bunch of little design changes to make it better. We also trained this new network that's pretty swell. It's a little bigger than last time but more accurate. It's still fast though, don't worry. At 320x320 YOLOv3 runs in 22 ms at 28.2 mAP, as accurate as SSD but three times faster. When we look at the old .5 IOU mAP detection metric YOLOv3 is quite good. It achieves 57.9 mAP@50 in 51 ms on a Titan X, compared to 57.5 mAP@50 in 198 ms by RetinaNet, similar performance but 3.8x faster. As always, all the code is online at https://pjreddie.com/yolo/",True,https://arxiv.org/pdf/1804.02767,http://arxiv.org/abs/1804.02767,ground improvement
https://openalex.org/W2064299399,Study and interpretation of the chemical characteristics of natural water,1959,John David Hem,,10.3133/wsp1473_ed1,5779,"Introduction 3 Purpose and scope of report 4 Acknowledgments 5 Properties of water 5 Composition of the earth's crust 6 Water as a geochemical agent The role of water in erosion Chemistry of weathering processes Collection of quality-of-water data Collection of water samples Surface-water sampling Ground-water sampling Completeness of sample coverage Analyses of water samples Field testing of water Electric logs as indicators of ground-water quality Laboratory procedures Expression of water analyses Analyses reported in terms of hypothetical combinations Analyses expressed in terms of ions Determinations included in analyses Units used in reporting analyses Weight-per-weight units Weight-per-volume units Equivalent-weight units Composition of anhydrous residue Parts per million as calcium carbonate Comparison of units of expression Significance of properties and constituents reported in water analyses_ _ Specific electrical conductance Units for reporting conductance Physical basis of conductance Range of conductance values Accuracy and reproducibility of conductance values Hydrogen-ion concentration (pH) Hydrolysis Buffered solutions Interpretation of pH data Range of pH values Accuracy and reproducibility of pH values Color Sources and significance of color in water 49 Residue on evaporition 49 Theoretical basis of determination 50 Range of concentration 51 Accuracy and reproducibility of results 51 III Significance of properties and constituents reported in water analyses-Continued Acidity Sources of acidity of natural water Chemistry of acidity determination Range of concentration Reproducibility of acidity data Sulfate Sources of sulfate in natural water Chemistry of sulfate in natural water Range of concentration Accuracy and reproducibility of results Chloride Sources of chloride in water Chemistry of chloride in natural water Oceanic chloride Juvenile chloride Cyclic chloride Range of concentration Accuracy and reproducibility of results Fluoride Source of fluoride in water Chemistry of fluoride in natural water Range of concentration Accuracy and reproducibility of results Nitrate Source of nitrate in water Chemistry of nitrate in natural water 116 Range of concentration Accuracy and reproducibility of results Phosphate Sources of phosphate Chemistry of phosphate in natural water 119 Range of concentration 120 Accuracy and reproducibility of results 120 Boron 120 Sources of boron 120 Chemistry of boron in natural water Range of concentration 122 Accuracy and reproducibility of results 122 Trace or minor constituents-Cations 124 Heavy metals 124 Titanium 124 Chromium 124 Zinc 125 Nickel and cobalt 126 Copper 126 Tin 127 Lead 127 Cadmium 128 Mercury 128 Arsenic 129 Selenium 130 Significance of properties and constituents reported in water analyses-Continued Trace or minor constituents-Cations-Continued Alkaline-earth metals Beryllium Strontium Barium Alkali metals and ammonium Lithium Rubidium Cesium Ammonium Radioactive components Uranium Radium Radon Thorium Trace or minor constituents-Anions Bromide Iodide Sulfite and thiosulf ate Total dissolved solids-Computed Chemistry of dissolved solids determination Accuracy and reproducibility of results Dissolved gases Biochemical oxygen demand Hardness Utilization Range of concentration Accuracy and reproducibility of results Percent sodium Sodium-adsorption ratio Density Organization and study of water-analysis data Evaluation of water analyses Tabulation Study techniques Inspection and comparison Use of ratios Use of averages 156 Palmer's geochemical classification 162 Graphical representation 164 Scatter diagrams 165 Ionic-concentration diagrams 168 Percentage-composition diagrams Frequency diagrams Chemical analyses plotted against nonchemical variables 186 Hydrographs 186 Dissolved-solids rating curves 188 Water-quality profiles 192 Quality-of-water maps 192 Selection of study techniques 10. Effect of temperature on solubility of calcium carbonate (calcite) in water in the presence of CO2 VIII CONTENTS Page FIGURE 11. Solubility of magnesium carbonate in water at 25C in the presence of CO2 81 12. Relation of conductance to chloride, hardness, and sulfate concentrations, Gila River at Bylas, Ariz., Oct. 1, 1943 to Sept. 30, 1944 13. Sodium-chloride relationship, Gila River at Bylas, Ariz., Oct. 1, 1943, to Sept. 30, 1944 14. Analyses represented by vertical bar graphs of equivalents per million 15. Analyses represented by bar graphs of parts per million 16. Bar graph of equivalents per million which also shows hardness values in parts per million 17. Analyses in equivalents per million represented by vectors__ _ 18. Analyses represented by patterns based on equivalents per million 19. Analyses represented by linear plotting of cumulative percentage composition based on parts per million 20. Analyses represented by logarithmic plotting of concentrations in parts per million 21. Analyses represented by circular diagrams subdivided on the basis of percent of total equivalents per million 22. Analyses represented by bar-patterns based on percent of total equivalents per million 23. Analyses represented by patterns drawn on radial coordinates.. 24. Analyses represented by three points plotted in trilinear diagram (after A. M. Piper) 25. Number of samples having percent sodium within ranges indicated, San Simon artesian basin, Ariz 26. Cumulative frequency curve of specific conductance, Allegheny, Monongahela and Ohio River waters, Pittsburgh area, Pennsylvania, 1944-50 27. Specific conductance of daily samples and daily mean discharge, San Francisco River at Clifton, Ariz., Oct. 1, 1943 to Sept. 30, 1944 28. Bicarbonate, sulfate, hardness, and pH of samples collected in cross section of Susquehanna River at Harrisburg, Pa., July 8, 1947 29. Temperature and dissolved solids of water in Lake Mead in Virgin and Boulder Canyons, 1948 194 30. Total concentration and hardness of water from deeper wells in Prairie Creek Unit, Nebr 31. Ratio of alkalinity to sulfate in water from unconsolidated deposits in the Torrington area, Nebr 32. Map of portions of Apache and Navajo counties, Ariz., showing mineral content of ground water in the Coconino sandstone_ 198 33. Analyses of waters associated with igneous rocks 206 34. Analyses of waters associated with resistate sediments 209 35. Analyses of waters associated with hydrolyzate sediments_ _ _ 36. Weighted-average analyses for Rio Grande at San Acacia, N. Mex., for two periods in the 1945-46 water year 212 37. Analyses of waters associated with precipitate-type sediments.. 38. Analyses of waters associated with evaporate sediments 215 39. Analyses of waters associated with metamorphic rocks 217 40. Diagram for use in interpreting the analysis of irrigation water_ 251 2 CHEMICAL CHARACTERISTICS OF NATURAL WATER",True,https://pubs.usgs.gov/wsp/1473ed-1/report.pdf,https://doi.org/10.3133/wsp1473_ed1,colloidal silica soil
https://openalex.org/W2790979755,Deep learning in agriculture: A survey,2018,"Andreas Kamilaris, Francesc X. Prenafeta‐Boldú",Computers and Electronics in Agriculture,10.1016/j.compag.2018.02.016,5008,,True,https://arxiv.org/pdf/1807.11809,https://doi.org/10.1016/j.compag.2018.02.016,deep soil mixing
https://openalex.org/W1887863118,Soil and Water Assessment Tool Theoretical Documentation Version 2009,2011,"S.L. Neitsch, J. G. Arnold, James R. Kiniry, Jeffery Williams",OakTrust (Texas A&M University Libraries),,4059,"movement, sediment movement, crop growth, nutrient cycling, etc. are directly modeled by SWAT using this input data.Benefits of this approach are  watersheds with no monitoring data (e.g.stream gage data) can be modeled  the relative impact of alternative input data (e.g.changes in management practices, climate, vegetation, etc.) on water quality or other variables of interest can be quantified  uses readily available inputs.While SWAT can be used to study more specialized processes such as bacteria transport, the minimum data required to make a run are commonly available from government agencies. is computationally efficient.Simulation of very large basins or a variety of management strategies can be performed without excessive investment of time or money. enables users to study long-term impacts.Many of the problems currently addressed by users involve the gradual buildup of pollutants and the impact on downstream water bodies.To study these types of problems, results are needed from runs with output spanning several decades.SWAT is a continuous time model, i.e. a long-term yield model.The model is not designed to simulate detailed, single-event flood routing.The climate of a watershed provides the moisture and energy inputs that control the water balance and determine the relative importance of the different components of the hydrologic cycle.The climatic variables required by SWAT consist of daily precipitation, maximum/minimum air temperature, solar radiation, wind speed and relative humidity.The model allows values for daily precipitation, maximum/minimum air temperatures, solar radiation, wind speed and relative humidity to be input from records of observed data or generated during the simulation. WEATHER GENERATOR.Daily values for weather are generated from average monthly values.The model generates a set of weather data for each subbasin.The values for any one subbasin will be generated independently and there will be no spatial correlation of generated values between the different subbasins.GENERATED PRECIPITATION.SWAT uses a model developed by Nicks (1974) to generate daily precipitation for simulations which do not read in measured data.This precipitation model is also used to fill in missing data in the measured records.The precipitation generator uses a first-order Markov chain model to define a day as wet or dry by comparing a random number (0.0-1.0) generated by the model to monthly wet-dry probabilities input by the user.If the day is classified as wet, the amount of precipitation is generated from a skewed distribution or a modified exponential distribution.SUB-DAILY RAINFALL PATTERNS.If sub-daily precipitation values are needed, a double exponential function is used to represent the intensity patterns within a storm.With the double exponential distribution, rainfall intensity exponentially increases with time to a maximum, or peak, intensity.Once the peak intensity is reached, the rainfall intensity exponentially decreases with time until the end of the storm GENERATED AIR TEMPERATURE AND SOLAR RADIATION.Maximum and minimum air temperatures and solar radiation are generated from a normal distribution.A continuity equation is incorporated into the generator to HYDROLOGYAs precipitation descends, it may be intercepted and held in the vegetation canopy or fall to the soil surface.Water on the soil surface will infiltrate into the soil profile or flow overland as runoff.Runoff moves relatively quickly toward a stream channel and contributes to short-term stream response.Infiltrated water may be held in the soil and later evapotranspired or it may slowly make its way to the surface-water system via underground paths.The potential pathways of water movement simulated by SWAT in the HRU are illustrated in Figure 0.5. CANOPY STORAGE.Canopy storage is the water intercepted by vegetative surfaces (the canopy) where it is held and made available for evaporation.When using the curve number method to compute surface runoff, canopy storage is taken into account in the surface runoff calculations.However, if methods such as Green & Ampt are used to model infiltration and runoff, canopy storage must be modeled separately.SWAT allows the user to input the maximum amount of water that can be stored in the canopy at the maximum leaf area index for the land cover.This value and the leaf area index are used by the model to compute the maximum storage at any time in the growth cycle of the land cover/crop.When evaporation is computed, water is first removed from canopy storage. INFILTRATION.Infiltration refers to the entry of water into a soil profile from the soil surface.As infiltration continues, the soil becomes increasingly wet, causing the rate of infiltration to decrease with time until it reaches a steady value.The initial rate of infiltration depends on the moisture content of the soil prior to the introduction of water at the soil surface.The final rate of infiltration is equivalent to the saturated hydraulic conductivity of the soil.Because the curve number method used to calculate surface runoff operates on a daily time-step, it is unable to directly model infiltration.The amount of water entering the soil profile is calculated as the difference between the amount of rainfall and the amount of surface runoff.The Green & Ampt infiltration method does directly model infiltration, but it requires precipitation data in smaller time increments. REDISTRIBUTION.Redistribution refers to the continued movement of water through a soil profile after input of water (via precipitation or irrigation) has ceased at the soil surface.Redistribution is caused by differences in water content in the profile.Once the water content throughout the entire profile is uniform, g redistribution will cease.The redistribution component of SWAT uses a storage routing technique to predict flow through each soil layer in the root zone.Downward flow, or percolation, occurs when field capacity of a soil layer is exceeded and the layer below is not saturated.The flow rate is governed by the saturated conductivity of the soil layer.Redistribution is affected by soil temperature.If the temperature in a particular layer is 0C or below, no redistribution is allowed from that layer. EVAPOTRANSPIRATION.Evapotranspiration is a collective term for all processes by which water in the liquid or solid phase at or near the earth's surface becomes atmospheric water vapor.Evapotranspiration includes evaporation from rivers and lakes, bare soil, and vegetative surfaces; evaporation from within the leaves of plants (transpiration); and sublimation from ice and snow surfaces.The model computes evaporation from soils and plants separately as described by Ritchie (1972).Potential soil water evaporation is estimated as a function of potential evapotranspiration and leaf area index (area of plant leaves relative to the area of the HRU).Actual soil water evaporation is estimated by using exponential functions of soil depth and water content.Plant transpiration is simulated as a linear function of potential evapotranspiration and leaf area index.POTENTIAL EVAPOTRANSPIRATION.Potential evapotranspiration is the rate at which evapotranspiration would occur from a large area completely and uniformly covered with growing vegetation which has access to an unlimited supply of soil water.This rate is assumed to be unaffected by micro-climatic processes such as advection or heat-storage effects.The model offers three options for estimating potential evapotranspiration: Hargreaves (Hargreaves et al., 1985), Priestley-Taylor (Priestley and Taylor, 1972), and Penman-Monteith (Monteith, 1965). LATERAL SUBSURFACE FLOW.Lateral subsurface flow, or interflow, is streamflow contribution which originates below the surface but above the zone where rocks are saturated with water.Lateral subsurface flow in the soil profile (0-2m) is calculated simultaneously with redistribution.A kinematic storage model is used to predict lateral flow in each soil layer.The model accounts for variation in conductivity, slope and soil water content.SURFACE RUNOFF.Surface runoff, or overland flow, is flow that occurs along a sloping surface.Using daily or subdaily rainfall amounts, SWAT simulates surface runoff volumes and peak runoff rates for each HRU.SURFACE RUNOFF VOLUME is computed using a modification of the SCS curve number method (USDA Soil Conservation Service, 1972) or the Green & Ampt infiltration method (Green and Ampt, 1911).In the curve number method, the curve number varies non-linearly with the moisture content of the soil.The curve number drops as the soil approaches the wilting point and increases to near 100 as the soil approaches saturation.The Green & Ampt method requires sub-daily precipitation data and calculates infiltration as a function of the wetting front matric potential and effective hydraulic conductivity.Water that does not infiltrate POTENTIAL AND ACTUAL TRANSPIRATION.The process used to calculate potential plant transpiration is described in the section on evapotranspiration.Actual transpiration is a function of potential transpiration and soil water availability. NUTRIENT UPTAKE.Plant use of nitrogen and phosphorus are estimated with a supply and demand approach where the daily plant nitrogen and phosphorus demands are calculated as the difference between the actual concentration of the element in the plant and the optimal concentration.The optimal concentration of the elements varies with growth stage as described by Jones (1983). GROWTH CONTRAINTS.Potential plant growth and yield are usually not achieved due to constraints imposed by the environment.The model estimates stresses caused by water, nutrients and temperature. ROUTING IN THE MAIN CHANNEL OR REACHRouting in the main channel can be divided into four components: water, sediment, nutrients and organic chemicals. FLOOD ROUTING.As water flows downstream, a portion may be lost due to evaporation and",True,https://hdl.handle.net/1969.1/128050,https://hdl.handle.net/1969.1/128050,deep soil mixing
https://openalex.org/W2126164548,"Heavy Metals in Contaminated Soils: A Review of Sources, Chemistry, Risks and Best Available Strategies for Remediation",2011,"R. A. Wuana, F. E. Okieimen",ISRN Ecology,10.5402/2011/402647,3836,"Scattered literature is harnessed to critically review the possible sources, chemistry, potential biohazards and best available remedial strategies for a number of heavy metals (lead, chromium, arsenic, zinc, cadmium, copper, mercury and nickel) commonly found in contaminated soils. The principles, advantages and disadvantages of immobilization, soil washing and phytoremediation techniques which are frequently listed among the best demonstrated available technologies for cleaning up heavy metal contaminated sites are presented. Remediation of heavy metal contaminated soils is necessary to reduce the associated risks, make the land resource available for agricultural production, enhance food security and scale down land tenure problems arising from changes in the land use pattern.",True,https://downloads.hindawi.com/archive/2011/402647.pdf,https://doi.org/10.5402/2011/402647,soil stabilization earthquake
https://openalex.org/W2135494568,Current plate motions,1990,"Charles DeMets, Richard G. Gordon, Donald F. Argus, Seth Stein",Geophysical Journal International,10.1111/j.1365-246x.1990.tb06579.x,3751,"We determine best-fitting Euler vectors, closure-fitting Euler vectors, and a new global model (NUVEL-1) describing the geologically current motion between 12 assumed-rigid plates by inverting plate motion data we have compiled, critically analysed, and tested for self-consistency. We treat Arabia, India and Australia, and North America and South America as distinct plates, but combine Nubia and Somalia into a single African plate because motion between them could not be reliably resolved. The 1122 data from 22 plate boundaries inverted to obtain NUVEL-1 consist of 277 spreading rates, 121 transform fault azimuths, and 724 earthquake slip vectors. We determined all rates over a uniform time interval of 3.0m.y., corresponding to the centre of the anomaly 2A sequence, by comparing synthetic magnetic anomalies with observed profiles. The model fits the data well. Unlike prior global plate motion models, which systematically misfit some spreading rates in the Indian Ocean by 8–12mm yr−1, the systematic misfits by NUVEL-1 nowhere exceed ∼3 mm yr−1. The model differs significantly from prior global plate motion models. For the 30 pairs of plates sharing a common boundary, 29 of 30 P071, and 25 of 30 RM2 Euler vectors lie outside the 99 per cent confidence limits of NUVEL-1. Differences are large in the Indian Ocean where NUVEL-1 plate motion data and plate geometry differ from those used in prior studies and in the Pacific Ocean where NUVEL-1 rates are systematically 5–20 mm yr−1 slower than those of prior models. The strikes of transform faults mapped with GLORIA and Seabeam along the Mid-Atlantic Ridge greatly improve the accuracy of estimates of the direction of plate motion. These data give Euler vectors differing significantly from those of prior studies, show that motion about the Azores triple junction is consistent with plate circuit closure, and better resolve motion between North America and South America. Motion of the Caribbean plate relative to North or South America is about 7 mm yr−1 slower than in prior global models. Trench slip vectors tend to be systematically misfit wherever convergence is oblique, and best-fitting poles determined only from trench slip vectors differ significantly from their corresponding closure-fitting Euler vectors. The direction of slip in trench earthquakes tends to be between the direction of plate motion and the normal to the trench strike. Part of this bias may be due to the neglect of lateral heterogeneities of seismic velocities caused by cold subducting slabs, but the larger part is likely caused by independent motion of fore-arc crust and lithosphere relative to the overriding plate.",True,https://academic.oup.com/gji/article-pdf/101/2/425/1498783/101-2-425.pdf,https://doi.org/10.1111/j.1365-246x.1990.tb06579.x,lateral spreading earthquake
